Time Step (ns),0-12-0:,0-12-2:,0-12-3:,0-12-4:,0-12-5:,0-12-6:,0-12-8:,1-10-2:,1-10-3:,1-10-4:,2-8-1:,2-8-2:,2-8-3:,3-6-3:
0,166,479,0,0,0,0,0,6,1,2,2,0,1,0
1,180,504,1,0,0,0,0,4,5,1,0,2,4,0
2,178,515,1,0,0,0,0,6,3,1,1,0,1,0
3,186,521,2,0,0,0,0,5,1,1,0,4,1,1
4,183,521,1,0,0,0,0,8,1,1,1,1,3,0
5,196,533,2,0,0,0,0,10,0,0,0,2,2,0
6,179,498,1,0,0,0,0,9,0,0,0,1,0,0
7,171,490,0,0,0,0,0,6,1,2,1,1,1,0
8,163,461,2,0,0,0,0,4,3,1,1,0,1,0
9,158,445,0,0,0,0,0,4,2,0,0,0,1,0
10,159,461,0,0,0,0,0,1,1,0,0,1,2,0
11,150,449,1,0,0,0,0,9,0,1,0,2,2,0
12,154,436,0,0,0,0,0,7,2,1,0,0,1,0
13,150,431,2,0,0,0,0,1,2,0,0,1,2,0
14,146,418,0,0,0,0,0,4,0,0,0,3,0,0
15,146,418,2,0,0,0,0,3,3,1,0,0,0,0
16,145,409,0,0,0,0,0,1,3,0,0,3,0,0
17,142,407,1,0,0,0,0,5,1,3,1,0,0,0
18,138,416,0,0,0,0,0,6,0,0,0,0,0,0
19,142,397,0,0,0,0,0,2,0,1,0,0,0,0
20,141,384,1,0,0,0,0,6,1,2,0,0,1,0
21,139,403,0,0,0,0,0,3,2,2,0,2,1,0
22,140,405,0,0,0,0,0,4,2,0,0,0,1,0
23,138,401,1,0,0,0,0,1,0,0,0,1,1,0
24,138,417,2,0,0,0,0,3,2,0,0,0,2,0
25,141,396,0,0,0,0,0,2,0,0,0,0,0,0
26,134,402,0,0,0,0,0,7,1,0,0,0,0,0
27,142,405,1,0,0,0,0,4,0,0,1,0,1,0
28,135,385,1,0,0,0,0,5,0,0,0,1,0,0
29,135,401,0,0,0,0,0,7,3,0,0,0,0,0
30,129,376,0,0,0,0,0,5,0,0,0,1,0,0
31,128,379,0,0,0,0,0,3,3,0,1,0,0,0
32,127,385,0,0,0,0,0,6,1,1,0,0,0,0
33,133,389,0,0,0,0,0,5,1,1,0,0,0,0
34,134,388,3,0,0,0,0,7,0,0,0,1,1,0
35,130,385,0,0,0,0,0,1,1,0,1,0,1,0
36,131,375,2,0,0,0,0,2,1,0,0,0,0,0
37,127,386,1,0,0,0,0,2,0,0,0,0,0,0
38,134,381,0,0,0,0,0,1,2,0,1,0,1,0
39,135,379,0,0,0,0,0,3,1,0,1,0,1,0
40,127,371,1,0,0,0,0,1,1,1,0,1,0,0
41,129,362,1,0,0,0,0,3,2,1,0,0,0,0
42,136,365,2,0,0,0,0,0,1,0,0,0,0,0
43,132,372,1,0,0,0,0,4,0,1,1,0,1,0
44,137,371,0,0,0,0,0,4,2,0,1,1,0,0
45,126,358,1,0,0,0,0,2,1,0,0,0,0,0
46,130,364,0,0,0,0,0,6,1,0,0,1,0,1
47,129,361,0,0,0,0,0,5,5,0,0,1,0,0
48,128,358,1,0,0,0,0,3,1,2,1,0,1,0
49,126,365,1,0,0,0,0,3,0,0,0,0,0,0
50,136,367,0,0,0,0,0,4,0,0,0,0,1,0
51,132,358,1,0,0,0,0,4,1,0,0,1,0,0
52,130,339,1,0,0,0,0,4,0,0,0,0,0,0
53,130,345,0,0,0,0,0,6,0,2,0,0,0,0
54,116,344,1,0,0,0,0,3,0,0,0,0,0,0
55,126,359,2,0,0,0,0,6,1,0,0,0,1,0
56,133,350,2,0,0,0,0,3,0,0,0,0,0,0
57,128,357,1,0,0,0,0,3,0,1,0,0,0,0
58,122,362,2,0,0,0,0,8,1,0,0,1,1,0
59,125,370,1,0,0,0,0,2,3,0,0,0,1,0
60,121,354,0,0,0,0,0,3,0,0,0,0,0,1
